,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
160,"Salem, Abdallah","Mamedyarov, Shakhriyar",2682,2786,2018.12.28,blitz,0-1,C77
161,"Mamedyarov, Shakhriyar","Guseynov, Ruslan",2646,2249,2005.05.05,blitz,1/2-1/2,B07
162,"Lysyj, Igor","Mamedyarov, Shakhriyar",2594,2764,2020.05.12,,0-1,E94
163,"Mamedyarov, Shakhriyar","Harikrishna, Pentala",2607,2563,2003.06.30,swiss,1-0,C26
164,"Mamedyarov, Shakhriyar","Guseinov, Sabir",2479,,2001.??.??,tourn,1-0,D70
165,"Nepomniachtchi, Ian","Mamedyarov, Shakhriyar",2717,2753,2013.06.10,swiss (blitz),1-0,B11
166,"Mamedyarov, Shakhriyar","Idani, Pouya",,,2015.09.11,k.o.,1-0,D05
167,"Mamedyarov, Shakhriyar","Martinez Alcantara, Jose Eduardo",2765,2620,2021.10.26,,1-0,E25
168,"Mamedyarov, Shakhriyar","Carozzo, Marcello",2770,1358,2021.03.26,,1-0,
169,"Duda, Jan Krzysztof","Mamedyarov, Shakhriyar",2738,2782,2021.07.10,,1-0,
170,"Mamedyarov, Shakhriyar","Aronian, Levon",2782,2782,2021.09.01,rapid,0-1,
171,"So, Wesley","Mamedyarov, Shakhriyar",2754,2774,2019.07.01,,1-0,A15
172,"Meshkovs, Nikita","Mamedyarov, Shakhriyar",2585,2764,2020.08.04,,1-0,A49
173,"Mamedyarov, Shakhriyar","Krivonosov, Oleg",2770,2371,2021.06.22,,1-0,C26
174,"Le Tuan, Minh","Mamedyarov, Shakhriyar",2514,2770,2021.05.08,,0-1,A43
175,"Mamedyarov, Shakhriyar","Ganguly, Surya Shekhar",2765,2627,2011.07.18,team-tourn,1-0,E32
176,"Mamedyarov, Shakhriyar","Morefield, Jason",2764,2227,2020.06.23,,1-0,E34
177,"Mamedyarov, Shakhriyar","Badalov, Samir",2522,2307,2002.??.??,,1-0,A68
178,"Mamedyarov, Shakhriyar","Onischuk, Vladimir",,,2015.10.11,rapid,1-0,A41
179,"Van Wely, Loek","Mamedyarov, Shakhriyar",2681,2760,2008.03.25,tourn (rapid),1/2-1/2,A52
180,"Mamedyarov, Shakhriyar","Ivanisevic, Ivo",2762,2641,2016.12.04,team,1-0,D51
181,"Kramnik, Vladimir","Mamedyarov, Shakhriyar",2759,2725,2009.05.08,,1-0,A16
182,"Esipenko, Andrey","Mamedyarov, Shakhriyar",2564,2799,2017.12.20,schev,0-1,D46
183,"Mamedyarov, Shakhriyar","Riazantsev, Alexander",2699,2593,2006.04.21,,1/2-1/2,E12
184,"Mamedyarov, Shakhriyar","Vitiugov, Nikita",2753,2734,2013.06.10,swiss (blitz),1-0,E11
185,"Mamedyarov, Shakhriyar","Saraci, Nderim",2770,2424,2021.05.08,,1-0,D35
186,"Ponomariov, Ruslan","Mamedyarov, Shakhriyar",2738,2699,2006.06.25,,0-1,E70
187,"Mamedyarov, Shakhriyar","Shirov, Alexei",2735,2696,2015.05.16,swiss (blitz),1-0,D23
188,"Mamedyarov, Shakhriyar","Jobava, Baadur",2756,2710,2010.10.19,team-swiss,1-0,E20
189,"Tomashevsky, Evgeny","Mamedyarov, Shakhriyar",2728,2747,2016.01.17,tourn,1/2-1/2,D06
190,"Mamedyarov, Shakhriyar","Petrosian, Tigran L",2754,2592,2007.03.24,k.o. (blitz),1-0,D34
191,"Aravindh, Chithambaram VR","Mamedyarov, Shakhriyar",2641,2770,2021.04.03,,0-1,B40
192,"Ivanisevic, Ivan","Mamedyarov, Shakhriyar",2643,2757,2014.12.01,swiss,1-0,A85
193,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2800,2742,2017.07.13,,1/2-1/2,D85
194,"Aronian, Levon","Mamedyarov, Shakhriyar",2783,2756,2010.09.28,team-swiss,1/2-1/2,D85
195,"L'Ami, Erwin","Mamedyarov, Shakhriyar",2605,2756,2015.03.15,swiss,1-0,A21
196,"Harikrishna, Pentala","Mamedyarov, Shakhriyar",2558,2585,2003.08.25,,1-0,D21
197,"Mamedyarov, Shakhriyar","Kramnik, Vladimir",2757,2772,2007.06.26,tourn,1/2-1/2,E14
198,"Fedoseev, Vladimir","Mamedyarov, Shakhriyar",2687,2770,2021.03.24,,0-1,B11
199,"Mamedyarov, Shakhriyar","Safarli, Eltaj",2746,2673,2016.06.02,tourn,1-0,E20
200,"Mamedyarov, Shakhriyar","Zatonskih, Anna",2747,2506,2012.01.27,match,1-0,D37
201,"Mamedyarov, Shakhriyar","Sargissian, Gabriel",2743,2686,2014.06.19,swiss (blitz),0-1,D35
202,"Amarger, Vincent","Mamedyarov, Shakhriyar",2082,2735,2015.05.16,swiss (blitz),0-1,B12
203,"Zherebukh, Yaroslav","Mamedyarov, Shakhriyar",2590,2765,2011.09.03,k.o.,1/2-1/2,B92
204,"Mamedyarov, Shakhriyar","Nenezic, Marko",2770,2532,2021.02.09,,1/2-1/2,A45
205,"Mamedyarov, Shakhriyar","Kuzubov, Yuriy",2797,2652,2017.09.08,,0-1,D37
206,"Mamedyarov, Shakhriyar","Najer, Evgeniy",2674,2641,2005.11.30,,1/2-1/2,A29
207,"Mamedyarov, Shakhriyar","Zarubitski, Viachaslau",2770,2442,2020.10.06,,1-0,D11
208,"Nedev, Trajko","Mamedyarov, Shakhriyar",2484,2761,2016.09.03,swiss,0-1,B12
209,"Robson, Ray","Mamedyarov, Shakhriyar",2667,2817,2019.01.30,team-swiss (rapid),1-0,B12
210,"Ponomariov, Ruslan","Mamedyarov, Shakhriyar",2714,2765,2014.12.13,tourn (blitz),1-0,A50
211,"Adams, Michael","Mamedyarov, Shakhriyar",2734,2757,2007.05.14,tourn,1/2-1/2,B46
212,"Glek, Igor Vladimirovich","Mamedyarov, Shakhriyar",2551,2607,2003.06.05,swiss,1-0,B51
213,"Mamedyarov, Shakhriyar","Radjabov, Teimour",2764,2793,2012.12.17,tourn (blitz),1/2-1/2,D79
214,"Ponkratov, Pavel","Mamedyarov, Shakhriyar",2623,2770,2020.12.19,,0-1,D85
215,"Mamedyarov, Shakhriyar","Duda, Jan Krzysztof",2782,2738,2021.07.08,,0-1,
216,"Mamedyarov, Shakhriyar","Korobov, Anton",2716,2667,2020.05.16,,1/2-1/2,
217,"Mamedyarov, Shakhriyar","Dominguez Perez, Leinier",2801,2739,2018.08.14,tourn (rapid),1/2-1/2,D27
218,"Nagy, Gabor","Mamedyarov, Shakhriyar",2495,2770,2020.12.19,,1-0,D02
219,"Jakovenko, Dmitry","Mamedyarov, Shakhriyar",2710,2791,2017.10.03,team-tourn (rapid),0-1,D06
220,"Mamedyarov, Shakhriyar","Messala, Noureddine",2735,,2015.05.16,swiss (blitz),1-0,E20
221,"Abdel Razik, Khaled","Mamedyarov, Shakhriyar",2389,2752,2007.11.24,k.o.,0-1,B06
222,"Mamedyarov, Shakhriyar","So, Wesley",2735,2779,2015.08.11,team-tourn,1/2-1/2,A48
223,"Nakamura, Hikaru","Mamedyarov, Shakhriyar",2754,2765,2019.07.31,blitz,1-0,
224,"Mamedyarov, Shakhriyar","Heberla, Bartlomiej",2674,2465,2005.11.11,,1-0,A43
225,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1/2-1/2,C26
226,"Le, Quang Liem","Mamedyarov, Shakhriyar",2712,2743,2014.06.20,rapid,0-1,A41
227,"Sevian, Samuel","Mamedyarov, Shakhriyar",2684,2767,2022.02.08,,1-0,E04
228,"Fy Antenaina, Rakotomaharo","Mamedyarov, Shakhriyar",2419,2765,2019.09.10,,0-1,B15
229,"Mamedyarov, Shakhriyar","Postny, Evgeny",2721,2651,2009.10.25,team-swiss,1-0,D31
230,"Ding, Liren","Mamedyarov, Shakhriyar",2799,2765,2021.11.09,,1-0,D20
231,"Mamedyarov, Shakhriyar","Roghani, Arash",2607,2302,2003.04.22,,1-0,E46
232,"Mamedyarov, Shakhriyar","Hansen, Eric",2771,2606,2022.04.24,,0-1,E60
233,"Xiong, Jeffery","Mamedyarov, Shakhriyar",2710,2782,2021.08.12,blitz,1/2-1/2,
234,"Leko, Peter","Mamedyarov, Shakhriyar",2741,2742,2008.08.29,tourn (blitz),1-0,C54
235,"Mamedyarov, Shakhriyar","Mamedov, Rauf",2747,2650,2016.02.28,tourn (blitz),1/2-1/2,B52
236,"Mamedyarov, Shakhriyar","Vachier Lagrave, Maxime",2801,2779,2018.08.24,tourn,1/2-1/2,D85
237,"Dvoirys, Semen I","Mamedyarov, Shakhriyar",2594,2646,2004.02.20,,1/2-1/2,C42
238,"Giri, Anish","Mamedyarov, Shakhriyar",2782,2801,2018.09.07,,1/2-1/2,B06
239,"Durarbayli, Vasif","Mamedyarov, Shakhriyar",2576,2726,2012.07.16,team-tourn,1/2-1/2,C87
240,"Mamedyarov, Shakhriyar","Sasikiran, Krishnan",2731,2694,2008.11.08,blitz,0-1,A56
241,"Svidler, Peter","Mamedyarov, Shakhriyar",2738,2742,2008.08.29,tourn (blitz),1/2-1/2,C72
242,"Mamedyarov, Shakhriyar","Kryvoruchko, Yuriy",2770,2699,2021.03.29,,1-0,
243,"Mamedyarov, Shakhriyar","Mekhitarian, Krikor Sevag",2770,2554,2020.12.22,,1-0,D90
244,"Torbin, Kirill","Mamedyarov, Shakhriyar",2286,2201,2000.??.??,tourn,1/2-1/2,E66
245,"Mamedyarov, Shakhriyar","Nakamura, Hikaru",2646,2660,2005.09.17,,1/2-1/2,D10
246,"Mamedyarov, Shakhriyar","Topalov, Veselin",2800,2749,2017.06.25,tourn (rapid),1-0,D11
247,"Mamedyarov, Shakhriyar","Harikrishna, Pentala",2646,2645,2005.09.19,,1-0,E11
248,"Maukhtarov, Farkhad","Mamedyarov, Shakhriyar",,2201,2000.??.??,tourn,0-1,E84
249,"Mamedyarov, Shakhriyar","Kramnik, Vladimir",2809,2800,2018.03.05,tourn (blitz),0-1,D36
250,"Mamedyarov, Shakhriyar","Piesik, Piotr",2770,2400,2020.12.22,,1-0,A43
