,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
98,"So, Wesley","Bojkov, Dejan",2650,2556,2012.07.26,,1-0,D25,7
99,"Gonzales, Jayson","So, Wesley",2468,2627,2009.03.27,,0-1,D12,5
100,"Nakamura, Hikaru","So, Wesley",2787,2770,2016.06.12,tourn (blitz),1/2-1/2,D15,17
101,"Garma, Chito","So, Wesley",2346,2577,2008.07.01,tourn,1/2-1/2,B22,1
102,"Granda Zuniga, Julio E","So, Wesley",2648,2794,2016.10.04,swiss,0-1,A29,4
103,"Stefansson, Hannes","So, Wesley",2515,2652,2012.09.01,team-swiss,1/2-1/2,B92,5.1
104,"Topalov, Veselin","So, Wesley",2760,2794,2016.12.15,swiss,0-1,C54,6
105,"So, Wesley","Nakamura, Hikaru",2778,2736,2021.09.28,,0-1,C45,4.6
106,"Grischuk, Alexander","So, Wesley",2772,2754,2019.05.20,,1/2-1/2,,10.2
107,"So, Wesley","Durarbayli, Vasif",2765,2620,2019.03.13,team-swiss (rapid),1/2-1/2,C75,10
108,"Nakamura, Hikaru","So, Wesley",2745,2767,2020.02.21,,1-0,A78,4.19
109,"So, Wesley","Karjakin, Sergey",2763,2748,2019.07.17,,1-0,,16.1
110,"Lenderman, Aleksandr","So, Wesley",2589,2755,2014.10.11,swiss,0-1,D10,5
111,"Checa, Nicolas","So, Wesley",2508,2765,2019.02.12,team-swiss (rapid),0-1,D43,6
112,"So, Wesley","Vidit, Santosh Gujrathi",2780,2718,2018.10.09,,1/2-1/2,C80,?
113,"Anand, Viswanathan","So, Wesley",2773,2765,2018.11.14,tourn (blitz),1-0,B51,10
114,"So, Wesley","Carlsen, Magnus",2770,2862,2021.02.06,rapid,1-0,B52,1.2
115,"So, Wesley","Boros, Denes",2577,2472,2008.08.04,swiss,1-0,B07,3
116,"So, Wesley","Nakamura, Hikaru",2767,2745,2020.02.21,,1/2-1/2,C53,4.8
117,"Nakamura, Hikaru","So, Wesley",2779,2794,2016.12.09,swiss,0-1,D85,1
118,"So, Wesley","Kramnik, Vladimir",2770,2812,2016.06.17,tourn (rapid),1/2-1/2,D61,2
119,"Burmakin, Vladimir","So, Wesley",2559,2411,2006.11.09,,0-1,A45,6
120,"Mamedyarov, Shakhriyar","So, Wesley",2782,2772,2021.08.13,blitz,1/2-1/2,,7.1
121,"Noritsyn, Nikolay","So, Wesley",2512,2770,2020.08.23,,0-1,,9.1
122,"So, Wesley","Karjakin, Sergey",2658,2788,2011.09.01,k.o.,1/2-1/2,E36,2.2
123,"Ponomariov, Ruslan","So, Wesley",2710,2775,2015.12.27,swiss,1/2-1/2,C67,7.3
124,"Cervantes Landeiro, Thalia","So, Wesley",1984,2822,2017.03.15,,0-1,D02,3
125,"Anand, Viswanathan","So, Wesley",2786,2812,2017.06.11,,1/2-1/2,C50,5.2
126,"So, Wesley","Khandelwal, Ankush",2516,2119,2007.08.06,swiss,1-0,C28,2
127,"So, Wesley","Hansen, Eric",2765,2615,2019.03.13,team-swiss (rapid),1-0,C65,10
128,"So, Wesley","Mamedyarov, Shakhriyar",2767,2767,2019.10.02,,1/2-1/2,D35,1.28
129,"So, Wesley","Onischuk, Alexander",2668,2688,2010.10.28,tourn,1/2-1/2,E05,1
130,"Carlsen, Magnus","So, Wesley",2847,2770,2021.05.31,,0-1,,28.1
131,"So, Wesley","Rakhmanov, Alexander",2656,2591,2010.02.12,swiss,1-0,B29,4
132,"So, Wesley","Kazhgaleyev, Murtas",2531,2599,2007.10.30,,1/2-1/2,C47,5
133,"So, Wesley","Ponkratov, Pavel",2770,2631,2020.10.04,,0-1,C07,1.1
134,"So, Wesley","Abdusattorov, Nodirbek",2770,2627,2020.11.08,schev,1-0,B10,1.36
135,"So, Wesley","Ormsby, Alan",2776,1780,2018.10.20,swiss,1-0,B12,?
136,"So, Wesley","Bitoon, Richard",2540,2420,2008.05.01,swiss,1-0,B99,9
137,"So, Wesley","Karjakin, Sergey",2658,2788,2011.09.02,k.o.,1/2-1/2,E05,2.3
138,"So, Wesley","Adhiban, Baskaran",2792,2655,2018.01.17,,1-0,A10,5
139,"Topalov, Veselin","So, Wesley",2749,2812,2017.06.25,tourn (rapid),0-1,A21,16
140,"Zhang, Pengxiang","So, Wesley",2649,2516,2007.09.21,,1-0,B33,3
