,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
2415,"Mamedov, Rauf","Anand, Viswanathan",2656,2751,2021.12.18,,0-1,,2
2416,"Nakamura, Hikaru","Anand, Viswanathan",2746,2773,2018.11.14,tourn (blitz),1/2-1/2,C69,16
2417,"Anand, Viswanathan","Nakamura, Hikaru",2797,2776,2015.02.17,match (rapid),1-0,D37,4
2418,"Giri, Anish","Anand, Viswanathan",2764,2753,2020.07.24,,1/2-1/2,E01,4.3
2419,"Nihal, Sarin","Anand, Viswanathan",2127,2737,2018.11.11,rapid,1/2-1/2,,8.5
2420,"Kasimdzhanov, Rustam","Anand, Viswanathan",2670,2788,2005.10.01,tourn,1-0,B90,4
2421,"Anand, Viswanathan","Kramnik, Vladimir",2752,2809,2002.06.23,,1/2-1/2,C67,6
2422,"Smirin, Ilia","Anand, Viswanathan",2615,2720,1994.??.??,swiss,1/2-1/2,B31,1
2423,"Jobava, Baadur","Anand, Viswanathan",2707,2786,2017.07.02,tourn (blitz),1/2-1/2,C54,12
2424,"Mohr, Georg","Anand, Viswanathan",2460,2555,1988.??.??,,1-0,D03,?
2425,"Anand, Viswanathan","Leko, Peter",2782,2741,2004.07.29,,1/2-1/2,B33,1.1
2426,"Anand, Viswanathan","Nakamura, Hikaru",2804,2802,2015.06.15,tourn (blitz),1/2-1/2,B52,9
2427,"Anand, Viswanathan","Karpov, Anatoly",,,1994.??.??,,0-1,B17,3
2428,"Giri, Anish","Anand, Viswanathan",2757,2811,2014.12.08,blitz,1-0,,1.1
2429,"Yu, Yangyi","Anand, Viswanathan",2729,2779,2016.12.27,rapid,1/2-1/2,D55,9.4
2430,"Anand, Viswanathan","Ivanchuk, Vassily",2720,2695,1994.10.24,tourn,1/2-1/2,B47,10
2431,"Anand, Viswanathan","Leko, Peter",2792,2751,2007.09.29,tourn,1/2-1/2,C89,14
2432,"Korobov, Anton","Anand, Viswanathan",2670,2757,2019.11.07,rapid,1-0,D38,4.4
2433,"Vallejo Pons, Francisco","Anand, Viswanathan",2697,2780,2012.10.08,tourn,1/2-1/2,C78,6
2434,"Adams, Michael","Anand, Viswanathan",2555,2555,1990.??.??,,1/2-1/2,C42,?
2435,"Giri, Anish","Anand, Viswanathan",2776,2757,2019.11.07,rapid,1/2-1/2,E10,6.3
2436,"Spassky, Boris Vasilievich","Anand, Viswanathan",2580,2515,1989.??.??,,1/2-1/2,A29,?
2437,"Ding, Liren","Anand, Viswanathan",2812,2779,2019.04.03,tourn,1/2-1/2,D35,4
2438,"Anand, Viswanathan","Nepomniachtchi, Ian",2783,2751,2017.08.17,tourn (blitz),1/2-1/2,B09,1
2439,"Sokolov, Ivan","Anand, Viswanathan",2570,2555,1988.??.??,tourn,1/2-1/2,E18,?
2440,"Timman, Jan H","Anand, Viswanathan",2629,2790,2001.01.27,,0-1,E15,12
2441,"Lobron, Eric","Anand, Viswanathan",,,1997.??.??,,0-1,A48,?
2442,"Anand, Viswanathan","Poazuelo, Enrique",2801,1901,2007.??.??,,1-0,C78,?
2443,"Anand, Viswanathan","Giri, Anish",2757,2776,2019.11.25,blitz,1/2-1/2,C65,6.4
2444,"Vallejo Pons, Francisco","Anand, Viswanathan",2686,2786,2005.02.27,tourn,1/2-1/2,E15,5
2445,"Ivanchuk, Vassily","Anand, Viswanathan",2695,2720,1994.??.??,,1/2-1/2,B31,4
2446,"So, Wesley","Anand, Viswanathan",2780,2768,2018.08.15,tourn (rapid),0-1,E20,12
2447,"Gelfand, Boris","Anand, Viswanathan",2681,2762,2000.09.10,k.o.,1/2-1/2,E05,2.2
2448,"Anand, Viswanathan","Ivanchuk, Vasyl",2753,2678,2020.07.29,,1/2-1/2,D37,9.5
