,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
127,"Nepomniachtchi, Ian","Grischuk, Alexander",2757,2766,2018.08.07,,1/2-1/2,C42
128,"Grischuk, Alexander","Wesley, George",2771,2762,2019.05.20,,1/2-1/2,D37
129,"Grischuk, Alexander","Duda, Jan Krzysztof",2777,2757,2020.10.25,schev,0-1,D02
130,"Grischuk, Alexander","Ivanchuk, Vassily",2715,2787,2007.11.21,,0-1,D21
131,"Iordachescu, Viorel","Grischuk, Alexander",2648,2752,2011.11.03,team-swiss,1/2-1/2,A58
132,"Grischuk, Alexander","Kamsky, Gata",2752,2670,2016.05.01,swiss (blitz),1/2-1/2,C63
133,"Grischuk, Alexander","Vachier Lagrave, Maxime",2777,2778,2020.05.15,,0-1,B27
134,"Grischuk, Alexander","Anand, Viswanathan",2717,2792,2006.03.23,rapid,1-0,C67
135,"Inarkiev, Ernesto","Grischuk, Alexander",2688,2795,2014.11.13,tourn (blitz),1/2-1/2,B90
136,"Ding, Liren","Grischuk, Alexander",2777,2772,2017.12.13,tourn (blitz),0-1,E68
137,"Grischuk, Alexander","Gelfand, Boris",2719,2727,2006.04.24,team,0-1,C42
138,"Grischuk, Alexander","Hansch, Karsten",2777,2300,2020.08.18,swiss (blitz),1-0,D35
139,"Milos, Gilberto","Grischuk, Alexander",2575,2777,2020.01.20,,0-1,B92
140,"Grischuk, Alexander","Kasparov, Garry",2663,2849,2001.03.24,rapid,0-1,B80
141,"Grischuk, Alexander","Bartel, Mateusz",2792,2641,2014.06.19,swiss (blitz),1/2-1/2,A21
142,"Grischuk, Alexander","Fedoseev, Vladimir",2771,2659,2015.09.16,k.o.,1-0,E15
143,"Grischuk, Alexander","Gurevich, Dmitry",2709,2507,2006.09.07,blitz,1-0,B35
144,"Karjakin, Sergey","Grischuk, Alexander",2763,2752,2011.12.10,swiss (rapid),1/2-1/2,B12
145,"Le, Quang Liem","Grischuk, Alexander",2713,2777,2020.02.03,,1/2-1/2,B92
146,"Grischuk, Alexander","Kortschnoj, Viktor Lvovich",2669,2617,2001.07.30,swiss,1/2-1/2,C02
147,"Grischuk, Alexander","Haasler, Andreas",2720,2189,2005.08.??,simul,1-0,C02
148,"Grischuk, Alexander","Safarli, Eltaj",2792,2649,2014.06.16,swiss (rapid),1/2-1/2,A28
149,"Grischuk, Alexander","Andreikin, Dmitry",2776,2724,2021.06.23,k.o.,0-1,B30
150,"Gurieli, Nino","Grischuk, Alexander",2351,2549,1999.07.24,,0-1,B22
151,"Atalik, Suat","Grischuk, Alexander",2575,2702,2002.10.31,team-swiss,0-1,E12
152,"Azarov, Sergei Nikolaevich","Grischuk, Alexander",2625,2733,2009.10.06,team-swiss,1/2-1/2,B92
153,"Grischuk, Alexander","Avrukh, Boris",2720,2652,2005.09.19,team,1/2-1/2,C90
154,"Ivanchuk, Vassily","Grischuk, Alexander",2768,2746,2011.09.13,k.o.,1/2-1/2,D39
155,"Morozevich, Alexander","Grischuk, Alexander",2694,2746,2011.09.04,k.o.,1/2-1/2,E35
156,"Carlsen, Magnus","Grischuk, Alexander",2775,2728,2008.08.29,tourn (blitz),0-1,D16
157,"Radjabov, Teimour","Grischuk, Alexander",2739,2750,2015.11.17,,1/2-1/2,D42
158,"Leko, Peter","Grischuk, Alexander",2741,2728,2008.08.29,tourn (blitz),1-0,B42
159,"Jobava, Baadur","Grischuk, Alexander",2668,2750,2015.11.19,team-swiss,1/2-1/2,E60
160,"Galchenko, Matvey","Grischuk, Alexander",2433,2777,2020.08.18,swiss (blitz),1-0,A20
161,"Grischuk, Alexander","Solomon, Kenny",2719,2352,2004.06.20,k.o.,1/2-1/2,E05
162,"Topalov, Veselin","Grischuk, Alexander",2743,2712,2003.01.26,tourn,1/2-1/2,B33
163,"Grischuk, Alexander","Rodshtein, Maxim",2750,2698,2017.05.04,,1-0,C67
164,"Utnasunov, Alexander","Grischuk, Alexander",2257,2606,2000.08.30,,1-0,E88
165,"Martins, Vinicius Tine","Grischuk, Alexander",2309,2777,2020.01.20,,0-1,A15
166,"Grischuk, Alexander","Collins, Sam",,,2010.09.21,team,1/2-1/2,
167,"Kharitonov, Andrei","Grischuk, Alexander",2550,,1995.??.??,,1-0,E69
168,"Grischuk, Alexander","Radjabov, Teimour",2761,2784,2012.06.14,swiss,1/2-1/2,
169,"Grischuk, Alexander","Polgar, Judit",2702,2677,2002.06.02,,1-0,B47
170,"Leko, Peter","Grischuk, Alexander",2752,2736,2009.11.16,tourn (blitz),0-1,B91
171,"Alekseenko, Kirill","Grischuk, Alexander",2674,2759,2019.10.13,swiss,1/2-1/2,C53
172,"Grischuk, Alexander","Grigoriants, Sergey",2771,2540,2018.12.27,swiss (rapid),1/2-1/2,D02
173,"Grischuk, Alexander","Borisovich Tukmakov, Vladimir",2717,2551,2007.07.06,rapid,1-0,D17
174,"Wei, Yi","Grischuk, Alexander",2733,2771,2019.03.07,team-tourn,1/2-1/2,C50
175,"Evdokimov, Alexander A","Grischuk, Alexander",2569,2752,2011.12.02,k.o. (rapid),1/2-1/2,E05
176,"Nepomniachtchi, Ian","Grischuk, Alexander",2757,2766,2018.08.07,,1/2-1/2,E92
177,"Harikrishna, Pentala","Grischuk, Alexander",2669,2746,2011.07.26,team-tourn,0-1,D91
178,"Grischuk, Alexander","Dominguez Perez, Leinier",2810,2726,2015.02.25,tourn,1/2-1/2,C92
179,"Harikrishna, Pentala","Grischuk, Alexander",2727,2810,2014.12.14,tourn (blitz),1/2-1/2,A34
180,"Grischuk, Alexander","Aronian, Levon",2752,2784,2016.04.06,match (blitz),0-1,A09
181,"Williams, Simon K","Grischuk, Alexander",2464,2778,2021.07.06,,0-1,D90
182,"Kosteniuk, Alexandra","Grischuk, Alexander",2541,2795,2014.11.13,tourn (blitz),0-1,B22
183,"Giri, Anish","Grischuk, Alexander",2690,2747,2011.03.22,tourn (rapid),1/2-1/2,E99
184,"Vitiugov, Nikita","Grischuk, Alexander",2705,2763,2012.08.06,,1/2-1/2,
185,"Gelfand, Boris","Grischuk, Alexander",2759,2795,2014.11.05,tourn,0-1,D83
186,"Ponomariov, Ruslan","Grischuk, Alexander",2684,2669,2001.09.29,team,1/2-1/2,C66
187,"Bologan, Victor","Grischuk, Alexander",2681,2764,2012.12.17,tourn (blitz),0-1,A65
188,"Miezis, Normunds","Grischuk, Alexander",2580,2763,2012.08.30,team-swiss,1/2-1/2,A29
189,"Grischuk, Alexander","Dominguez Perez, Leinier",2777,2758,2019.12.28,rapid,1/2-1/2,A00
190,"Delchev, Aleksander","Grischuk, Alexander",2577,2701,2003.05.31,swiss,1/2-1/2,C54
191,"Gelfand, Boris","Grischuk, Alexander",2739,2760,2011.05.25,,1-0,D76
192,"Zou, Chen","Grischuk, Alexander",2410,2772,2019.05.07,,1/2-1/2,
193,"Grischuk, Alexander","Sermek, Drazen",2549,2545,1999.08.28,,1/2-1/2,B01
194,"Vachier Lagrave, Maxime","Grischuk, Alexander",2710,2752,2011.12.14,swiss (rapid),1-0,B12
195,"Aronian, Levon","Grischuk, Alexander",2803,2783,2013.12.12,swiss (rapid),1/2-1/2,D85
196,"Grischuk, Alexander","Alekseev, Evgeny A",2719,2640,2006.04.22,team,0-1,B90
197,"Iordachescu, Viorel","Grischuk, Alexander",2553,2549,1999.08.27,,1/2-1/2,C92
198,"Morozevich, Alexander","Grischuk, Alexander",2755,2715,2007.11.22,,1-0,B07
199,"Kafka, Graeme","Grischuk, Alexander",,,1994.??.??,,0-1,B08
200,"Grischuk, Alexander","Rublevsky, Sergei",2717,2680,2007.06.08,k.o.,1/2-1/2,B85
201,"Grischuk, Alexander","Shahade, Gregory",2581,2461,2000.03.05,match (blitz),1/2-1/2,B76
202,"Grischuk, Alexander","Aleksandrov, Aleksej",2719,2679,2004.03.23,tourn,1/2-1/2,C67
203,"Grischuk, Alexander Igorevich","Shmat, Sergey",,1922,2004.11.??,swiss,1-0,D85
204,"Grischuk, Alexander","Vachier Lagrave, Maxime",2752,2710,2011.12.09,swiss (rapid),1/2-1/2,D74
205,"Rapport, Richard","Grischuk, Alexander",2698,2750,2017.08.03,,0-1,A01
206,"Grischuk, Alexander","Aronian, Levon",2756,2782,2010.03.24,tourn (rapid),1/2-1/2,E04
207,"Leitao, Rafael Duailibe","Grischuk, Alexander",2598,2709,2006.08.20,swiss (rapid),1/2-1/2,E15
208,"Gelfand, Boris","Grischuk, Alexander",2713,2724,2005.04.26,team,1/2-1/2,E12
209,"Korobov, Anton","Grischuk, Alexander",2652,2772,2017.12.14,swiss (rapid),1/2-1/2,A90
210,"Lautier, Joel","Grischuk, Alexander",2675,2669,2001.07.31,swiss,1/2-1/2,D34
