,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
86,"Carlsen, Magnus","Aronian, Levon",2881,2778,2021.03.16,,1-0,
87,"Bacrot, Etienne","Aronian, Levon",2678,2781,2021.06.18,blitz,0-1,
88,"Hickl, Joerg","Aronian, Levon",,,2003.11.01,team-tourn,0-1,A07
89,"Aronian, Levon","Karjakin, Sergey",2805,2782,2017.12.04,tourn,1/2-1/2,E11
90,"Grischuk, Alexander","Aronian, Levon",2736,2781,2010.01.11,team-tourn,1/2-1/2,D15
91,"Aronian, Levon","Caruana, Fabiano",2785,2781,????.??.??,,1/2-1/2,
92,"Vachier Lagrave, Maxime","Aronian, Levon",2758,2797,2014.12.14,tourn (blitz),1-0,A18
93,"Aronian, Levon","Delgado Crespo, Mairelys",,,2000.01.07,swiss,1-0,A07
94,"Pichot, Alan","Aronian, Levon",2628,2782,2021.11.05,,0-1,C78
95,"Nepomniachtchi, Ian","Aronian, Levon",2778,2778,2020.11.25,schev,1-0,
96,"Aronian, Levon","Rapport, Richard",2765,2776,2022.05.05,,1/2-1/2,
97,"Aronian, Levon","Korobov, Anton",2805,2652,2017.12.30,blitz,1/2-1/2,E17
98,"Kramnik, Vladimir","Aronian, Levon",2801,2820,2012.04.27,match,1/2-1/2,D43
99,"Dubov, Daniil","Aronian, Levon",2720,2772,2022.02.05,,1/2-1/2,
100,"Wesley, George","Aronian, Levon",2773,2784,2016.06.17,,1/2-1/2,E32
101,"Aronian, Levon","Lysyj, Igor",2813,2648,2013.08.16,,1-0,A47
102,"Aronian, Levon","Caruana, Fabiano",2805,2736,2012.01.24,,1-0,A04
103,"Aronian, Levon","Anand, Viswanathan",2764,2759,2018.06.23,tourn (rapid),1-0,B13
104,"Timoshenko, K.","Aronian, Levon",2564,2648,2004.02.25,,1/2-1/2,C88
105,"Aronian, Levon","Carlsen, Magnus",2775,2872,2019.12.08,,1/2-1/2,A06
106,"Aronian, Levon","Mont Reynaud, Jordy",,,1994.??.??,,1-0,D01
107,"Aronian, Levon","Caruana, Fabiano",2780,2805,2015.06.15,,1-0,E10
108,"Aronian, Levon","Svidler, Peter",,,2016.08.07,,1-0,
109,"Aronian, Levon","Klaman, K.",,,1947.??.??,,1-0,C63
110,"Aronian, Levon","Karjakin, Sergey",2773,2752,2020.05.21,,1/2-1/2,A29
111,"Na, Na","Aronian, Levon",,,1948.??.??,game,1/2-1/2,E32
112,"Adams, Michael","Aronian, Levon",2744,2781,2015.11.16,team-swiss,1-0,C67
113,"Aronian, Levon","Carlsen, Magnus",2793,2832,2017.06.10,tourn,1-0,D45
114,"Short, Nigel D","Aronian, Levon",2702,2648,2004.03.19,k.o. (rapid),1/2-1/2,C48
115,"Aronian, Levon","Miroshnichenko, Evgenij",2724,2634,2005.10.21,team-tourn,1-0,E70
116,"Onischuk, Alena","Aronian, Levon",2699,2773,2009.10.06,,1/2-1/2,D46
117,"Aronian, Levon","Nakamura, Hikaru",2767,2777,2018.08.14,tourn (rapid),1-0,B80
118,"Aronian, Levon","Arizmendi Martinez, Julen Luis",2762,2542,2006.09.16,team,1/2-1/2,D15
119,"Tukhaev, Adam","Aronian, Levon",2527,2765,2018.12.26,swiss (rapid),1/2-1/2,B06
120,"Schenk, Andreas","Aronian, Levon",2478,2610,2003.04.21,swiss,1/2-1/2,E20
121,"Aronian, Levon","Potkin, Vladimir",2815,2621,2014.06.19,blitz,1/2-1/2,A49
122,"Aronian, Levon","Dreev, Aleksey",2758,2662,2019.10.15,,1-0,B40
123,"Aronian, Levon","Carlsen, Magnus",2781,2847,2021.07.02,rapid,1-0,
124,"Aronian, Levon","Grischuk, Alexander",2772,2764,2021.12.29,blitz,1-0,C11
125,"Aronian, Levon","Beshukov, Sergei",2551,2428,2000.12.30,,1-0,B30
126,"Aronian, Levon","P Sethuraman, Sethuraman",2797,2646,2018.01.31,,1-0,A13
127,"Aronian, Levon","Topalov, Veselin",2830,2785,2014.03.25,tourn,1/2-1/2,D15
128,"Jobava, Baadur","Aronian, Levon",2707,2793,2017.07.01,tourn (blitz),0-1,D00
129,"Aronian, Levon","Ponomariov, Ruslan",2528,2673,2001.06.01,swiss,1/2-1/2,B07
130,"Aronian, Levon","Ding, Liren",2802,2771,2017.09.25,,1/2-1/2,A13
131,"Naiditsch, Arkadij","Aronian, Levon",2706,2777,2015.02.09,tourn,1/2-1/2,C47
132,"Indjic, Aleksandar","Aronian, Levon",2575,2802,2018.12.28,blitz,1-0,D37
133,"Svidler, Peter","Aronian, Levon",2754,2786,2009.11.18,,1-0,A11
134,"Sulskis, Sarunas","Aronian, Levon",2515,2390,1996.??.??,,1-0,D76
135,"Osmanodja, Filiz","Aronian, Levon",2255,2813,2013.05.31,,0-1,B12
136,"Kristjansson, Stefan","Aronian, Levon",2380,2562,2001.08.20,,0-1,B90
137,"Khachiyan, Melikset","Aronian, Levon",2400,2330,1995.??.??,tourn,1/2-1/2,C47
138,"Taimanova, Madina","Aronian, Levon",,,1949.10.??,,1-0,A54
139,"Aronian, Levon","Carlsen, Magnus",2775,2872,2019.12.08,,1/2-1/2,C16
140,"Novotelnov, Nikolai","Aronian, Levon",,,1951.11.??,,0-1,A25
141,"Karjakin, Sergey","Aronian, Levon",2756,2803,2013.12.16,tourn (blitz),1/2-1/2,C84
142,"Aronian, Levon","Caruana, Fabiano",2799,2807,2017.08.17,tourn (blitz),0-1,A20
143,"Carlsen, Magnus","Aronian, Levon",2863,2773,2020.05.19,,1-0,C42
144,"Caruana, Fabiano","Aronian, Levon",2822,2767,2018.08.19,,1/2-1/2,D11
145,"Jakovenko, Dmitry","Aronian, Levon",2736,2786,2009.11.17,,0-1,C53
146,"Aronian, Levon","Nakamura, Hikaru",2778,2829,2021.04.25,,1/2-1/2,
147,"Aronian, Levon","Li, Chao",2814,2633,2016.04.18,blitz,1/2-1/2,
148,"Melkumyan, Hrant","Aronian, Levon",2668,2775,2019.12.26,rapid,1/2-1/2,D30
149,"Aronian, Levon","Anand, Viswanathan",2804,2785,2014.09.20,tourn,1-0,D38
150,"Summerscale, Aaron P","Aronian, Levon",2465,2310,1996.??.??,,1/2-1/2,A45
151,"Aronian, Levon","Artemiev, Vladislav",2758,2746,2019.11.14,,1/2-1/2,B10
152,"Aronian, Levon","Carlsen, Magnus",2816,2843,2012.10.13,,1/2-1/2,E18
153,"Aronian, Levon","Zugaj, Fjodor",,,1996.??.??,,1-0,B19
154,"Dubov, Daniil","Aronian, Levon",2714,2782,2021.11.11,,1-0,A46
155,"Aronian, Levon","Senff, Martin",,,2000.09.02,swiss,1-0,D02
156,"Aronian, Levon","Karjakin, Sergey",2799,2773,2017.08.17,tourn (blitz),1/2-1/2,A29
157,"Aronian, Levon","Motylev, Alexander",2770,2653,2015.05.01,,1-0,A11
158,"Aronian, Levon","Svidler, Peter",2795,2745,2016.09.29,tourn,1/2-1/2,D70
159,"Nakamura, Hikaru","Aronian, Levon",2767,2797,2014.11.25,match (blitz),1-0,B07
160,"Nepomniachtchi, Ian","Aronian, Levon",2773,2772,2019.11.25,blitz,1-0,A28
161,"Zorin, Yakov","Aronian, Levon",,,1950.??.??,tourn,1/2-1/2,B89
162,"Aronian, Levon","Nepomniachtchi, Ian",2740,2785,2020.11.11,,1-0,
163,"Aronian, Levon","Svidler, Peter",2781,2714,2021.06.26,rapid,1/2-1/2,
164,"Mamedyarov, Shakhriyar","Aronian, Levon",2808,2764,2018.06.15,blitz,0-1,D04
165,"Nakamura, Hikaru","Aronian, Levon",2767,2797,2014.11.25,match (blitz),1-0,D44
166,"Aronian, Levon","Karjakin, Sergey",2815,2771,2014.06.02,tourn (blitz),0-1,D10
167,"Vachier Lagrave, Maxime","Aronian, Levon",2804,2799,2017.09.21,,1/2-1/2,C77
168,"Landa, Konstantin","Aronian, Levon",2610,2522,2001.03.02,,1/2-1/2,B90
169,"Vallejo Pons, Francisco","Aronian, Levon",2650,2752,2006.02.22,tourn,1/2-1/2,A30
170,"Aronian, Levon","Nakamura, Hikaru",2815,2775,2014.06.17,rapid,1-0,D20
171,"Tual, Marc","Aronian, Levon",,,1957.01.??,,1/2-1/2,D40
172,"Bacrot, Etienne","Aronian, Levon",2705,2757,2008.10.21,team-swiss,1/2-1/2,C89
173,"Caruana, Fabiano","Aronian, Levon",2804,2792,2016.06.20,tourn (blitz),1-0,A14
174,"Aronian, Levon","Dumitran, Octavian",,,1995.??.??,tourn,1-0,B23
175,"Leko, Peter","Aronian, Levon",2751,2750,2007.09.25,tourn,1/2-1/2,E15
176,"Saltaev, Mihail","Aronian, Levon",2485,2693,2005.05.05,team-k.o.,1/2-1/2,C77
177,"Adly, Ahmed","Aronian, Levon",2599,2785,2016.12.29,swiss (blitz),1-0,D02
178,"Gelfand, Boris","Aronian, Levon",2741,2783,2010.06.06,k.o. (rapid),1-0,E42
179,"Berkes, Ferenc","Aronian, Levon",2610,2684,2005.02.19,swiss,1/2-1/2,E25
180,"Aronian, Levon","Khruschiov, Alexey",,,1994.??.??,,1-0,A45
181,"Vachier Lagrave, Maxime","Aronian, Levon",2796,2793,2017.07.01,tourn (blitz),1-0,C77
182,"Aronian, Levon","Ivanchuk, Vassily",2739,2751,2008.03.03,tourn,1/2-1/2,D53
183,"Aronian, Levon","Vidit Gujrathi, Santosh",2782,2727,2021.11.21,blitz,1/2-1/2,C80
184,erigaisi arjun,"Aronian, Levon",2627,2782,2021.11.20,blitz,1/2-1/2,A06
185,"Le, Quang Liem","Aronian, Levon",2709,2782,2021.08.06,,1/2-1/2,
186,"Leonidovich Kalinitsch, Sergey","Aronian, Levon",,,2004.02.29,,0-1,D37
187,"Aronian, Levon","Kevlishvili, Robby",2765,2451,2018.12.28,swiss (rapid),1/2-1/2,D11
188,"Giri, Anish","Aronian, Levon",2782,2764,2018.06.13,blitz,0-1,C67
189,"Kramnik, Vladimir","Aronian, Levon",2766,2744,2007.03.23,rapid,1-0,A30
190,"Dubov, Daniil","Aronian, Levon",2702,2781,2020.12.28,,1/2-1/2,E10
191,"Xiong, Jeffery","Aronian, Levon",2709,2773,2020.09.16,rapid,1/2-1/2,D92
192,"Polgar, Judit","Aronian, Levon",2722,2649,2003.10.18,,1-0,C90
193,"Aronian, Levon","Caruana, Fabiano",2777,2811,2015.02.17,match (rapid),1/2-1/2,D56
194,"Caruana, Fabiano","Aronian, Levon",2783,2815,2014.06.02,blitz,1/2-1/2,
195,"Nakamura, Hikaru","Aronian, Levon",2787,2792,2016.02.15,tourn (blitz),1-0,C65
196,"Aronian, Levon","Anand, Viswanathan",2786,2762,2016.03.12,tourn,1/2-1/2,D37
197,"Aronian, Levon","Carlsen, Magnus",2778,2881,2020.06.11,,1/2-1/2,
198,"Grischuk, Alexander","Aronian, Levon",2752,2784,2016.04.06,match (blitz),0-1,A09
199,"Aronian, Levon","Nepomniachtchi, Ian",2768,2632,2009.08.01,,1/2-1/2,A29
200,"Aronian, Levon","Nielsen, Peter Heine",2752,2644,2006.03.21,tourn (rapid),1/2-1/2,A04
201,"Aronian, Levon","Fedoseev, Vladimir",2805,2718,2017.12.29,blitz,1/2-1/2,D30
202,"Aronian, Levon","Nakamura, Hikaru",2825,2775,2012.06.08,swiss,1-0,
203,"Kanep, Meelis","Aronian, Levon",2491,2724,2005.08.07,,0-1,A45
204,"Aronian, Levon","Ding, Liren",2782,2799,2021.12.06,,0-1,D02
205,"Aronian, Levon","Jobava, Baadur",2780,2703,2017.06.28,tourn (blitz),1-0,D16
206,"Aronian, Levon","Mamedyarov, Shakhriyar",2764,2808,2018.05.27,tourn (blitz),1-0,C54
