,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
90,"Topalov, Veselin","Nisipeanu, Liviu Dieter",2769,2668,2007.11.11,,1-0,D20
91,"Topalov, Veselin","Izeta Txabarri, Felix",2635,2505,1993.??.??,,1-0,B07
92,"Topalov, Veselin","Anand, Viswanathan",2760,2779,2016.11.10,tourn,1/2-1/2,A21
93,"Topalov, Veselin","Rublevsky, Sergei",2757,2649,2004.11.02,,0-1,B46
94,"Topalov, Veselin","Gelfand, Boris",2780,2737,2008.01.17,,1-0,C42
95,"Topalov, Veselin","Wesley, George",2740,2762,2019.05.11,,1/2-1/2,A20
96,"Ubilava, Elizbar","Topalov, Veselin",2560,2460,1992.??.??,tourn,1/2-1/2,D10
97,"Bacrot, Etienne","Topalov, Veselin",2717,2801,2006.03.04,tourn,0-1,D11
98,"Topalov, Veselin","Meyer, Armin",2725,,1997.??.??,,1-0,E91
99,"Giri, Anish","Topalov, Veselin",2771,2760,2016.12.16,tourn,1/2-1/2,D37
100,"Leko, Peter","Topalov, Veselin",2694,2700,1999.05.25,tourn,1/2-1/2,B90
101,"Topalov, Veselin","Wojtaszek, Radoslaw",2768,2705,2011.11.05,team-swiss,1/2-1/2,E16
102,"Topalov, Veselin","Aronian, Levon",2772,2815,2014.06.02,blitz,0-1,A07
103,"Kranz, Armin","Topalov, Veselin",,2495,1990.??.??,,0-1,A40
104,"Topalov, Veselin","Anand, Viswanathan",2793,2783,2013.05.07,tourn (blitz),1/2-1/2,A07
105,"Topalov, Veselin","Grigorov, Jordan N",2460,2390,1992.??.??,,0-1,A81
106,"Giri, Anish","Topalov, Veselin",2730,2752,2012.10.03,,0-1,D37
107,"Karpov, Anatoly","Topalov, Veselin",2693,2739,2002.04.07,,1-0,A57
108,"Nakamura, Hikaru","Topalov, Veselin",2780,2749,2017.11.10,match (rapid),1-0,E32
109,"Vallejo Pons, Francisco","Topalov, Veselin",2666,2804,2006.06.10,k.o. (rapid),0-1,B91
110,"Markowski, Tomasz","Topalov, Veselin",2530,2640,1995.??.??,tourn,1/2-1/2,A21
111,"Drasko, Milan","Topalov, Veselin",2545,2640,1994.10.??,,1/2-1/2,A62
112,"Kramnik, Vladimir","Topalov, Veselin",2777,2735,2003.10.25,rapid,1-0,B90
113,"Topalov, Veselin","Ivanchuk, Vassily",2769,2763,2012.11.08,tourn,1/2-1/2,C87
114,"Topalov, Veselin","Nadir, Samir",2768,2199,2016.09.02,team-swiss,1-0,A84
115,"Van Wely, Loek","Topalov, Veselin",2632,2700,1999.03.17,tourn (rapid),0-1,A70
116,"Topalov, Veselin","Dominguez Perez, Leinier",2740,2739,2019.02.22,match (rapid),1-0,C27
117,"Kasimdzhanov, Rustam","Topalov, Veselin",2709,2771,2013.04.21,tourn,1/2-1/2,E94
118,"Topalov, Veselin","Nakamura, Hikaru",2803,2733,2010.09.30,team-swiss,1/2-1/2,D56
119,"Wei, Yi","Topalov, Veselin",2737,2736,2019.05.12,blitz,1/2-1/2,
120,"Todorcevic Antic, Miodrag","Topalov, Veselin",2460,2485,1991.??.??,,1-0,B08
121,"Topalov, Veselin","Ponomariov, Ruslan",2804,2738,2006.05.19,,1-0,C88
122,"Karttunen, Mika","Topalov, Veselin",2423,2813,2015.10.18,team-swiss,0-1,A32
123,"Aronian, Levon","Topalov, Veselin",2744,2783,2007.02.24,tourn,1/2-1/2,D23
124,"Topalov, Veselin","Svidler, Peter",2735,2723,2003.10.28,rapid,0-1,C78
125,"Shirov, Alexei","Topalov, Veselin",2685,2750,1996.07.05,tourn,1/2-1/2,E94
126,"Dolmatov, Sergey","Topalov, Veselin",2630,2650,1993.??.??,,1/2-1/2,B33
127,"Timman, Jan H","Topalov, Veselin",2620,2700,1996.01.22,,1/2-1/2,A31
128,"Topalov, Veselin","Polgar, Judit",2786,2686,????.??.??,,1/2-1/2,A00
129,"Santos Ruiz, Miguel","Topalov, Veselin",2523,2740,2018.10.24,tourn (rapid),1/2-1/2,D11
130,"Polgar, Judit","Topalov, Veselin",2665,2750,1996.07.21,,0-1,B72
131,"Topalov, Veselin","Kramnik, Vladimir",2700,2780,1998.10.28,tourn,1/2-1/2,C42
132,"Topalov, Veselin","Kasparov, Garry",2710,2820,1998.??.??,,1-0,B33
133,"Topalov, Veselin","Yudasin, Leonid",2645,2615,1994.??.??,tourn,1/2-1/2,B14
134,"Ribli, Zoltan","Topalov, Veselin",2610,2650,1993.??.??,,1/2-1/2,A87
135,"Topalov, Veselin","Kramnik, Vladimir",2739,2809,2002.03.16,rapid,1-0,E20
136,"Nisipeanu, Liviu Dieter","Topalov, Veselin",2661,2751,2012.11.09,tourn,1/2-1/2,B22
137,"Karjakin, Sergey","Topalov, Veselin",2556,2735,2003.06.06,k.o. (rapid),0-1,C42
138,"Topalov, Veselin","Dizdarevic, Emir",2707,2501,2001.05.17,,1/2-1/2,B12
139,"Caruana, Fabiano","Topalov, Veselin",2794,2780,2016.03.15,tourn,1/2-1/2,C54
140,"Topalov, Veselin","Jussupow, Artur",2645,2655,1994.12.10,,1/2-1/2,C42
141,"Topalov, Veselin","Kramnik, Vladimir",2741,2811,2017.04.23,,1/2-1/2,D55
142,"Karpov, Anatoly","Topalov, Veselin",2775,2640,1995.??.??,,1/2-1/2,E89
143,"Topalov, Veselin","Caruana, Fabiano",2760,2823,2016.11.13,tourn (rapid),1/2-1/2,D12
144,"Topalov, Veselin","Illescas Cordoba, Miguel",2700,2635,1996.06.01,tourn,1/2-1/2,B33
145,"Topalov, Veselin","Martin Gonzalez, Angel",2460,2435,1992.??.??,,1-0,D34
146,"Anand, Viswanathan","Topalov, Veselin",2795,2700,1998.10.26,tourn,1/2-1/2,B80
147,"Ivanchuk, Vassily","Topalov, Veselin",2717,2718,2001.01.23,,1/2-1/2,E31
148,"Topalov, Veselin","Gicev, Blagoja",2455,2315,1991.??.??,,1/2-1/2,E61
149,"Shirov, Alexei","Topalov, Veselin",2690,2725,1997.04.01,tourn,1/2-1/2,C02
150,"Nakamura, Hikaru","Topalov, Veselin",2779,2760,2016.11.11,tourn,1-0,E35
151,"Topalov, Veselin","Aronian, Levon",,,2016.08.14,,1/2-1/2,C65
152,"Topalov, Veselin","Nisipeanu, Liviu Dieter",2772,2693,2007.05.10,,0-1,B01
153,"Topalov, Veselin","Kamsky, Gata",2772,2705,2007.05.14,,1/2-1/2,E15
154,"Carlier, Bruno","Topalov, Veselin",2395,2460,1992.??.??,,1/2-1/2,B51
155,"De La Villa Garcia, Jesus Maria","Topalov, Veselin",,,1992.??.??,,0-1,C03
156,"Santos Latasa, Jaime","Topalov, Veselin",2639,2730,2021.12.15,,0-1,
157,"Topalov, Veselin","Dominguez Perez, Leinier",2740,2739,2019.02.23,match (blitz),1-0,D55
158,"Topalov, Veselin","Aronian, Levon",2761,2792,2016.06.18,tourn (rapid),1-0,A26
159,"Stohl, Igor","Topalov, Veselin",2560,2460,1992.??.??,,0-1,A87
160,"Topalov, Veselin","Dominguez Perez, Leinier",2740,2739,2019.02.21,match (rapid),1/2-1/2,C42
161,"Caruana, Fabiano","Topalov, Veselin",2823,2760,2016.11.14,tourn (blitz),1-0,B56
162,"Topalov, Veselin","Kramnik, Vladimir",2780,2795,2008.01.22,tourn,1-0,D43
163,"Topalov, Veselin","Georgiev, Kiril Malinov",2771,2664,2013.10.22,,1-0,E21
164,"Topalov, Veselin","Armbruster, Manuel",2725,,1997.??.??,,1-0,B76
165,"Zhigalko, Sergei","Topalov, Veselin",2678,2772,2014.08.14,team-swiss,1/2-1/2,B52
