,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
116,"Bu, Xiangzhi","Vachier Lagrave, Maxime",2675,2722,2011.09.01,,1/2-1/2,,22
117,"Vachier Lagrave, Maxime","Hansen, Eric",2784,2606,2021.02.02,,1-0,A06,7
118,"Laznicka, Viktor","Vachier Lagrave, Maxime",2703,2710,2012.01.02,k.o.,1-0,E66,4
119,"Naiditsch, Arkadij","Vachier Lagrave, Maxime",2687,2804,2016.12.29,swiss (blitz),0-1,B50,9.10
120,"Vachier Lagrave, Maxime","Borisek, Jure",2793,2576,2018.02.07,,1/2-1/2,A03,5
121,"Vachier Lagrave, Maxime","Bogner, Sebastian",2705,2558,2013.04.07,team-tourn,1/2-1/2,C61,15.1
122,"Vachier Lagrave, Maxime","Baklan, Vladimir",2458,2595,2004.??.??,swiss,1-0,C03,9
123,"Vachier Lagrave, Maxime","Sargissian, Gabriel",2684,2660,2009.06.24,rapid,1/2-1/2,C65,3
124,"Schwarhofer, Christopher","Vachier Lagrave, Maxime",2058,2412,2003.10.23,,0-1,B37,1
125,"Svetushkin, Dmitry","Vachier Lagrave, Maxime",2602,2722,2013.03.09,swiss (rapid),1/2-1/2,B51,7
126,"Vachier Lagrave, Maxime","Mchedlishvili, Mikheil",2703,2637,2010.12.17,swiss (blitz),1-0,B10,5
127,"Xiong, Jeffery","Vachier Lagrave, Maxime",2652,2795,2017.08.30,k.o. (blitz),0-1,A00,1.29
128,"Le, Quang Liem","Vachier Lagrave, Maxime",2703,2705,2012.10.14,,1/2-1/2,A29,2
129,"Hansen, Eric","Vachier Lagrave, Maxime",2606,2751,2021.08.30,rapid,0-1,,13.8
130,"Grischuk, Arina","Vachier Lagrave, Maxime",2777,2778,2020.05.15,,0-1,B27,1.22
131,"Vachier Lagrave, Maxime","Gashimov, V.",2634,2664,2007.11.06,,1/2-1/2,C42,9
132,"Debray, Christopher","Vachier Lagrave, Maxime",2121,2278,2002.??.??,swiss,0-1,B72,3
133,"Vachier Lagrave, Maxime","Postny, Evgeny",2768,2641,2014.09.17,,1/2-1/2,A07,4.3
134,"Giri, Anish","Vachier Lagrave, Maxime",2764,2778,2020.04.19,,1/2-1/2,E06,1.4
135,"Vachier Lagrave, Maxime","Heinz, Timothee",2525,2231,2005.05.15,team,1-0,C82,10.1
