,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
150,"Carlsen, Magnus","Duda, Jan Krzysztof",2835,2738,2019.01.26,tourn,1-0,D37,12.1
151,"Nakamura, Hikaru","Duda, Jan Krzysztof",2736,2756,2021.10.04,,0-1,E60,9.2
152,"Perunovic, Milos","Duda, Jan Krzysztof",2622,2658,2015.10.14,blitz,0-1,B23,17.30
153,"Duda, Jan Krzysztof","Kuzmanovic, Jordan",1877,,2007.09.15,swiss,1-0,C65,2.9
154,"Duda, Jan Krzysztof","Vocaturo, Daniele",2753,2617,2020.08.22,,1-0,,5.1
155,"Remez, Serhiy","Duda, Jan Krzysztof",2018,1916,2008.04.29,tourn,0-1,,3.12
156,"Duda, Jan Krzysztof","Socko, Bartosz",2684,2615,2017.01.08,rapid,1/2-1/2,D38,9.1
157,"Lamard, Guillaume","Duda, Jan Krzysztof",1945,1901,2007.11.26,swiss,1-0,E01,9
158,"Bobula, Mateusz","Duda, Jan Krzysztof",2387,2175,2010.08.05,,1-0,D52,3
159,"Duda, Jan Krzysztof","Anand, Viswanathan",2753,2753,2020.08.29,,0-1,E48,3.1
160,"Duda, Jan Krzysztof","Moussard, Jules",2738,2605,2019.02.07,team-swiss (rapid),1-0,A04,5
161,"Caruana, Fabiano","Duda, Jan Krzysztof",2770,2801,2021.12.28,rapid,1/2-1/2,,11
162,"Duda, Jan Krzysztof","Rindlisbacher, Jan",2506,2241,2013.05.07,,1-0,C89,3.96
163,"Piorun, Kacper","Duda, Jan Krzysztof",2520,2380,2012.02.25,tourn,0-1,A20,8
164,"Mamedyarov, Shakhriyar","Duda, Jan Krzysztof",2767,2760,2022.02.21,,1/2-1/2,D16,10.2
165,"Shengelia, David","Duda, Jan Krzysztof",2579,2658,2015.11.13,,1/2-1/2,D14,1.30
166,"Solak, Dragan","Duda, Jan Krzysztof",2602,2734,2019.10.26,,1/2-1/2,B51,3.7
167,"Bu, Xiangzhi","Duda, Jan Krzysztof",2725,2724,2018.04.09,,1/2-1/2,D14,10
168,"Firouzja, Alireza","Duda, Jan Krzysztof",2728,2757,2020.10.16,,1-0,D78,10.2
169,"Duda, Jan Krzysztof","Wojtaszek, Radoslaw",2729,2687,2021.06.20,,1-0,C84,7.4
170,"Grischuk, Alexander","Duda, Jan Krzysztof",2766,2737,2018.09.18,,0-1,B90,2.21
171,"Duda, Jan Krzysztof","Parol, Pawel",2175,1764,2010.08.11,,1-0,,8.56
172,"Duda, Jan Krzysztof","Quparadze, Giga",2758,2462,2019.12.30,blitz,1-0,A05,13.4
173,"Blasiak, Miroslaw","Duda, Jan Krzysztof",2010,1916,2008.05.02,tourn,1/2-1/2,,7.12
174,"Duda, Jan Krzysztof","Svidler, Peter",2738,2737,2018.12.28,rapid,1-0,A28,?
175,"So, Wesley","Duda, Jan Krzysztof",2780,2737,2018.11.30,,1-0,B83,3.3
176,"Grischuk, Alexander","Duda, Jan Krzysztof",2776,2729,2021.07.25,,1/2-1/2,,37.5
177,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1-0,C54,2.8
178,"Kalvaitis, Sigitas","Duda, Jan Krzysztof",2327,2247,2011.01.02,tourn,0-1,,7.14
179,"Duda, Jan Krzysztof","Bulski, Krzysztof",2247,2470,2010.12.28,tourn,1/2-1/2,,2.7
180,"Duda, Jan Krzysztof","Vachier Lagrave, Maxime",2729,2775,2019.07.29,blitz,0-1,B51,8.1
181,"Bilguun, Sumiya","Duda, Jan Krzysztof",2200,2379,2011.11.20,swiss,0-1,B90,4
182,"Kramnik, Vladimir","Duda, Jan Krzysztof",2777,2658,2015.10.13,blitz,1-0,A46,11.6
183,"Duda, Jan Krzysztof","Kovalenko, Igor",2603,2653,2014.12.21,swiss (rapid),1-0,B17,9
184,"Duda, Jan Krzysztof","Van Foreest, Jorden",2738,2688,2021.07.07,,1/2-1/2,,3.4
185,"Duda, Jan Krzysztof","Rodshtein, Maxim",2706,2699,2017.11.04,team-swiss,1-0,C54,7.2
