,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
121,"Wang, Hao","Grigoryan, Avetik",2622,2404,2006.10.11,,1-0,C11,8.12
122,"Yu, Jason","Wang, Hao",2081,2714,2019.01.22,team-swiss (rapid),0-1,B84,3
123,"Vitiugov, Nikita","Wang, Hao",2719,2730,2018.12.27,swiss (rapid),0-1,C56,7
124,"Andreikin, Dmitry","Wang, Hao",2743,2720,2019.08.22,,1/2-1/2,C42,14.2
125,"Wang, Hao","Deepan Chakravarthy, Jeyakumar",2643,2492,2007.10.08,,1-0,D43,6.5
126,"Andreikin, Dmitry","Wang, Hao",2706,2690,2017.12.03,team-tourn,1/2-1/2,D30,20.6
127,"Wang, Hao","Aravindh, Chithambaram",2680,2588,2017.05.17,swiss,1/2-1/2,D12,6
128,"Wang, Hao","Gozzoli, Yannick",2619,2453,2007.03.03,,1/2-1/2,C63,1
129,"Eljanov, Pavel","Wang, Hao",2732,2734,2014.04.26,tourn,0-1,E52,6
130,"Wang, Hao","Giri, Anish",2752,2734,2013.07.11,tourn,1-0,C41,7
131,"Avrukh, Boris","Wang, Hao",2632,2684,2008.04.10,team,1/2-1/2,D45,8
132,"Lin, Mark","Wang, Hao",1951,2732,2016.08.01,,0-1,B91,6
133,"Wang, Hao","Erigaisi, Arjun",2713,2458,2018.03.15,,1-0,,9.5
134,"Wang, Hao","Le, Quang Liem",2736,2714,2011.12.15,,1-0,D78,4
135,"Chan, Nicholas","Wang, Hao",2377,2711,2018.08.21,,0-1,E12,3.1
136,"Ivanov, Igor Vasilievich","Wang, Hao",2489,2222,2002.08.15,tourn,1-0,E49,4
137,"Wang, Hao","Palmer, Jordan",2275,1881,2003.01.03,swiss,1-0,B30,1.2
138,"Wang, Hao","Andersen, Mads",2711,2601,2018.08.13,swiss,1/2-1/2,D90,7
139,"Dzhumaev, Marat","Wang, Hao",2540,2696,2008.12.30,team,0-1,B80,6
140,"Wang, Hao","Ponomariov, Ruslan",2710,2714,2014.12.14,tourn (blitz),0-1,B08,12
141,"Wang, Hao","Ivanchuk, Vassily",2735,2731,2013.12.16,tourn (blitz),1-0,D43,26
142,"Gelfand, Boris","Wang, Hao",2764,2747,2013.09.27,tourn,1/2-1/2,D41,5
143,"Zhou, Weiqi","Wang, Hao",2469,2638,2007.??.??,simul,1-0,E10,8
144,"Bu, Xiangzhi","Wang, Hao",2681,2713,2015.12.10,,1-0,A07,21.6
145,"Wang, Hao","Bocharov, Dmitry",2756,2524,2019.12.26,rapid,1-0,B22,3.4
146,"Bacrot, Etienne","Wang, Hao",2723,2747,2013.10.02,tourn,1/2-1/2,E11,9
147,"Terrieux, Kevin","Wang, Hao",2365,2519,2005.11.10,,1-0,D20,2
148,"Wang, Hao","Karjakin, Sergey",2737,2775,2012.12.16,tourn (blitz),1/2-1/2,B21,2
149,"Vitiugov, Nikita","Wang, Hao",2703,2739,2012.07.07,team-schev,1-0,B07,4
150,"Ma, Zhonghan","Wang, Hao",2262,2728,2011.04.13,team-tourn,1/2-1/2,E58,2
151,"Wang, Hao","Gashimov, Vugar",2519,2608,2005.11.13,,1/2-1/2,B79,5
152,"Wang, Hao","Ganguly, Surya Shekhar",2708,2654,2009.11.24,k.o.,1-0,B99,2.1
153,"Wang, Hao","Nakamura, Hikaru",2711,2781,2018.01.30,,1/2-1/2,C65,8.1
154,"Ruck, Robert","Wang, Hao",2574,2696,2008.10.14,k.o. (blitz),1-0,D11,2.2
155,"Wang, Hao","Jakovenko, Dmitry",2737,2704,2019.06.15,,1/2-1/2,,9.1
156,"Firouzja, Alireza","Wang, Hao",2607,2730,2018.12.29,swiss (blitz),0-1,C65,9
157,"Wang, Hao","Mamedyarov, Shakhriyar",2717,2747,2016.03.01,tourn (blitz),1/2-1/2,D55,22
158,"Wang, Hao","Praggnanandhaa, R.",2758,2602,2020.01.27,,1-0,,7.1
159,"Naiditsch, Arkadij","Wang, Hao",,,????.??.??,,1/2-1/2,,4.5
160,"Wang, Hao","Maletin, Pavel",2729,2588,2014.06.19,swiss (blitz),1-0,C45,4
161,"Wang, Hao","Xu, Xiangyu",2732,2447,2016.08.02,,1/2-1/2,C42,7
162,"Lu, Shanglei","Wang, Hao",2599,2712,2015.09.14,k.o.,1-0,B11,2.1
163,"Mahjoob Zardast, Morteza","Wang, Hao",2514,2727,2010.11.25,team-k.o.,0-1,E08,1
164,"Wang, Hao","Akobian, Varuzhan",2593,2600,2006.02.14,swiss,1-0,C11,7
