,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
153,"Andreikin, Dmitry","Volokitin, Andrei",2689,2695,2012.03.31,swiss,1/2-1/2,D80,11
154,"Diaz Rosas, Julio Cesar","Andreikin, Dmitry",2367,2725,2021.03.16,,0-1,B41,2
155,"Zinchenko, Yaroslav","Andreikin, Dmitry",2349,2449,2004.10.??,tourn,0-1,C05,5
156,"Andreikin, Dmitry","Fedoseev, Vladimir",2726,2674,2020.10.27,swiss (blitz),0-1,D31,10
157,"Marin, Mihail","Andreikin, Dmitry",2576,2743,2016.06.18,swiss (blitz),1/2-1/2,B07,8
158,"Andreikin, Dmitry","Djukic, Nikola",2726,2515,2020.06.23,,1/2-1/2,B47,10
159,"Artemiev, Vladislav","Andreikin, Dmitry",2692,2708,2017.10.02,swiss (blitz),1-0,A30,9
160,"Andreikin, Dmitry","Vorobiov, Evgeny E",2532,2580,2007.05.10,team (blitz),1/2-1/2,D27,8
161,"Andreikin, Dmitry","Yudin, A.Ya",2719,2507,2018.12.26,rapid,1-0,A13,?
162,"Eljanov, Pavel","Andreikin, Dmitry",2717,2720,2015.10.13,blitz,1/2-1/2,D11,9.9
163,"Andreikin, Dmitry","Oparin, Grigoriy",2710,2609,2018.08.30,tourn,1/2-1/2,D03,6
164,"Sarana, Alexey","Andreikin, Dmitry",2646,2782,2021.08.01,blitz,1/2-1/2,,16.1
165,"Sorokin, Aleksey","Andreikin, Dmitry",2521,2726,2020.08.04,,1/2-1/2,E12,5
166,"Andreikin, Dmitry","Smirnov, Igor",2449,2446,2004.10.??,tourn,1-0,C76,13
167,"Andreikin, Dmitry","Levin, Evgeny A",2555,2428,2007.12.02,swiss,1-0,B07,2
168,"Tabatabaei, M.amin","Andreikin, Dmitry",2623,2724,2022.03.26,rapid,1/2-1/2,D02,2
169,"Andreikin, Dmitry","Matinian, Nikita",2725,2470,2021.01.02,blitz,1/2-1/2,B08,?
170,"Matlakov, Maxim","Andreikin, Dmitry",2674,2724,2022.03.20,rapid,1-0,D30,3.2
171,"Andreikin, Dmitry","Oparin, Grigoriy",2725,2652,2021.03.06,,0-1,E20,?
172,"Andreikin, Dmitry","Narayanan, S.r",2729,2662,2022.04.16,rapid,1-0,D11,2
173,"Goltsev, Dmitry","Andreikin, Dmitry",2293,2724,2021.06.08,,1-0,C01,11
174,"Andreikin, Dmitry","Chigaev, Maksim",2728,2639,2021.10.17,,1/2-1/2,,8
175,"Andreikin, Dmitry","Artemiev, Vladislav",2725,2709,2021.03.03,blitz,1/2-1/2,D12,1
