,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
531,"Nagy, Gabor","Firouzja, Alireza",2478,2728,2020.08.11,,1-0,D37
532,"Skripchenko, Almira","Firouzja, Alireza",2403,2702,2019.09.27,blitz,0-1,
533,"Tang, Andrew","Firouzja, Alireza",2538,2759,2021.04.07,,0-1,A45
534,"Ibrahimli, Murad Sultanali","Firouzja, Alireza",2305,2079,2018.05.10,,1-0,A46
535,"Firouzja, Alireza","Mamedyarov, Shakhriyar",2703,2761,2021.04.27,,0-1,
536,"Ozen, Deniz","Firouzja, Alireza",2408,2079,2018.05.02,,1/2-1/2,B31
537,"Firouzja, Alireza","Keymer, Vincent",2728,2558,2020.06.13,blitz,1/2-1/2,D03
538,"Mchedlishvili, Mikheil","Firouzja, Alireza",2570,2728,2020.08.04,,0-1,B07
539,"Aronian, Levon","Firouzja, Alireza",2728,2656,2021.12.26,rapid,1/2-1/2,
540,"Firouzja, Alireza","Peng, David Yu",2364,2231,2015.11.05,swiss,0-1,B62
541,"Arjun, Kalyan","Firouzja, Alireza",2477,2728,2020.09.08,swiss (blitz),0-1,B41
542,"Firouzja, Alireza","Quintiliano Pinto, Renato Rodrigues",2749,2469,2021.02.23,,1-0,D00
543,"Firouzja, Alireza","Martinez Alcantara, Jose Eduardo",2749,2620,2020.12.19,,1-0,B50
544,"Carlsen, Magnus","Firouzja, Alireza",2862,2749,2021.02.27,,0-1,B01
545,"Fedoseev, Vladimir","Firouzja, Alireza",2756,2750,2020.11.04,,1/2-1/2,
546,"Mons, Leon","Firouzja, Alireza",2552,2702,2019.11.24,,0-1,B51
547,"Artemiev, Vladislav","Firouzja, Alireza",2704,2759,2021.09.02,rapid,1/2-1/2,
548,"Firouzja, Alireza","Volokitin, Andrei",2456,2649,2016.12.26,rapid,0-1,B90
549,"Fedoseev, Vladimir","Firouzja, Alireza",2756,2750,2020.11.04,,1-0,
550,"Harikrishna, Pentala","Firouzja, Alireza",2732,2749,2021.01.24,,0-1,
551,"Ragger, Markus","Firouzja, Alireza",2668,2770,2021.11.12,,0-1,B11
552,"Firouzja, Alireza","Fedoseev, Vladimir",2749,2674,2020.12.19,,1/2-1/2,D02
553,"Aronian, Levon","Firouzja, Alireza",2773,2728,2020.05.07,,1-0,A13
554,"Firouzja, Alireza","Nguyen, Anh Khoi",2657,2484,2019.03.30,swiss,1-0,B56
555,Praggnanandhaa R,"Firouzja, Alireza",2537,2682,2019.06.15,blitz,1/2-1/2,B00
556,"Firouzja, Alireza","Le, Quang Liem",2759,2709,2021.08.02,,1-0,
557,"Nubairshah Shaikh, Mohammad","Firouzja, Alireza",2408,2079,2017.05.10,,1/2-1/2,E97
558,"Sevian, Samuel","Firouzja, Alireza",2666,2682,2019.07.09,,0-1,B90
559,"Firouzja, Alireza","Wojtaszek, Radoslaw",2456,2749,2016.12.28,rapid,0-1,A06
560,"Erdos, Viktor","Firouzja, Alireza",2615,2770,2021.11.14,,0-1,B11
561,"Firouzja, Alireza","Wei, Yi",2682,2736,2019.07.28,,0-1,D79
562,"Mikhailovsky, Vladimir","Firouzja, Alireza",2228,2728,2020.08.04,,0-1,A45
563,"Firouzja, Alireza","Gareyev, Timur",2656,2578,2021.12.27,rapid,0-1,
564,"Hayrapetyan, Hovik","Firouzja, Alireza",2444,2079,2015.07.17,,1-0,A56
565,"Asgarizadeh, Ahmad","Firouzja, Alireza",2409,2079,2016.08.03,,0-1,D02
566,"Firouzja, Alireza","Zierk, Steven",2728,2499,2020.10.27,swiss,1-0,A00
567,"Bellahcene, Bilel","Firouzja, Alireza",2501,2728,2020.05.16,blitz,0-1,B90
568,"Sevian, Samuel","Firouzja, Alireza",2660,2759,2021.03.09,,0-1,B90
569,"Firouzja, Alireza","Andreikin, Dmitry",2723,2724,2019.12.30,blitz,1-0,C65
570,"Nakamura, Hikaru","Firouzja, Alireza",2736,2749,2020.11.24,,1-0,B18
571,"Firouzja, Alireza","Kuzubov, Yuriy",2618,2650,2019.02.07,swiss,1/2-1/2,B30
572,"Firouzja, Alireza","Shah Moradi, Mohammad",2079,2168,2015.01.23,,1-0,B57
573,"Firouzja, Alireza","Darban, Morteza",2079,2345,2015.01.22,,0-1,B60
574,Narayanan.S.L,"Firouzja, Alireza",2611,2702,2020.04.10,blitz,1/2-1/2,E94
575,"Firouzja, Alireza","Carlsen, Magnus",2728,2863,2020.05.21,,0-1,A07
576,"Firouzja, Alireza","Mashrukovich Kasimdzha, Rustam",2485,2703,2016.05.28,,0-1,C15
577,"Firouzja, Alireza","Sargsyan, Shant",2079,2431,2017.12.13,,1-0,C65
578,"Firouzja, Alireza","Abdullah Al Rakib, Mollah",2079,2492,2016.04.05,,1-0,A50
579,"Firouzja, Alireza","Jorge, Cristian",2685,2686,2019.10.20,,1-0,B31
580,"Firouzja, Alireza","Tsydypov, Zhamsaran",2759,2565,2021.04.03,,1-0,B40
581,"Firouzja, Alireza","Carlsen, Magnus",2703,2881,2020.04.20,,1-0,
582,"Firouzja, Alireza","Ivic, Velimir",2607,2497,2018.11.28,team-swiss,1-0,E90
583,"Firouzja, Alireza","Bellahcene, Bilel",2682,2545,2019.06.02,blitz,0-1,E04
584,"Maghsoodloo, Parham","Firouzja, Alireza",2243,2285,2016.07.02,match,1-0,E92
585,"Padmini, Rout","Firouzja, Alireza",2437,2079,2015.08.29,,1-0,B80
586,"Fedoseev, Vladimir","Firouzja, Alireza",2756,2750,2020.11.04,,0-1,
587,"Carlsen, Magnus","Firouzja, Alireza",2863,2728,2020.04.15,blitz,0-1,
588,"Firouzja, Alireza","Nakamura, Hikaru",2759,2736,2021.04.07,,1-0,B06
589,"Firouzja, Alireza","Gengler, Pierre",2561,2205,2018.09.25,,1-0,B38
