,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
85,"Radjabov, Teimour","Aronian, Levon",2758,2778,2021.01.02,,1/2-1/2,,22.1
86,"Alekseev, Evgeny A","Radjabov, Teimour",2275,2245,1998.??.??,,0-1,A90,4
87,"Radjabov, Teimour","Jakovenko, Dmitry",2744,2736,2011.09.06,k.o.,1-0,A05,4.1
88,"Radjabov, Teimour","Pichot, Alan",2765,2630,2021.05.24,,1-0,,10.6
89,"Sjugirov, Sanan","Radjabov, Teimour",2662,2758,2019.09.15,,1/2-1/2,E06,2.3
90,"Kramnik, Vladimir","Radjabov, Teimour",2790,2744,2011.05.09,k.o. (rapid),1-0,E94,1.11
91,"Aronian, Levon","Radjabov, Teimour",2739,2727,2008.??.??,,1-0,A62,7
92,"Radjabov, Teimour","Karjakin, Sergey",2729,2678,2007.01.14,tourn,1/2-1/2,E15,2
93,"Harikrishna, Pentala","Radjabov, Teimour",,,1996.??.??,,1-0,A10,5
94,"Almasi, Zoltan","Radjabov, Teimour",2644,2599,2002.??.??,,1/2-1/2,C03,1
95,"Radjabov, Teimour","Sjugirov, Sanan",2758,2662,2019.09.15,,1-0,D63,2.4
96,"Amin, Bassem","Radjabov, Teimour",2560,2751,2008.11.08,tourn (blitz),0-1,C86,2
97,"Radjabov, Teimour","Rublevsky, Sergei",2610,2658,2002.09.10,match (rapid),1/2-1/2,D20,8
98,"Kovalenko, Igor","Radjabov, Teimour",2651,2722,2016.09.10,,1/2-1/2,E75,8.4
99,"Carlsen, Magnus","Radjabov, Teimour",2881,2758,2021.04.28,,1-0,,6.1
100,"Radjabov, Teimour","Ivanchuk, Vassily",2717,2731,2006.04.20,team,1/2-1/2,E11,1
101,"Radjabov, Teimour","Ding, Liren",2793,2702,2012.12.17,tourn (blitz),1-0,A25,13
102,"Duda, Jan Krzysztof","Radjabov, Teimour",2753,2765,2020.08.28,,1/2-1/2,E40,2.1
103,"Gasimov, Rahim","Radjabov, Teimour",,,1998.??.??,,1-0,A10,?
104,"Radjabov, Teimour","Carlsen, Magnus",2747,2693,2007.05.18,match,1-0,E15,1
105,"Mamedyarov, Shakhriyar","Radjabov, Teimour",2756,2748,2010.11.01,k.o. (rapid),1/2-1/2,E69,4.4
106,"Radjabov, Teimour","Elatar, Mohamed Mahmoud",2748,2472,2009.11.21,k.o.,1-0,B12,1.1
107,"Radjabov, Teimour","Eliet, Nicolas",2656,2413,2004.02.01,team,1-0,D10,3
108,"Jobava, Baadur","Radjabov, Teimour",2727,2734,2015.01.25,tourn,1-0,E73,13
109,"Filipov, A.","Radjabov, Teimour",,2325,1998.??.??,,0-1,C01,2
110,"Dominguez Perez, Leinier","Radjabov, Teimour",2612,2670,2004.06.29,k.o.,1/2-1/2,B30,5.5
111,"Radjabov, Teimour","Aronian, Levon",2765,2781,2021.06.21,blitz,0-1,,17.4
112,"Stevic, Hrvoje","Radjabov, Teimour",2606,2724,2014.08.04,team-swiss,1/2-1/2,C47,3.2
113,"Radjabov, Teimour","Krasenkow, Michal",2670,2609,2004.05.28,swiss,1/2-1/2,D62,12
114,"Mamedyarov, Shakhriyar","Radjabov, Teimour",2646,2673,2005.05.07,k.o.,1/2-1/2,E61,5.2
115,"Vachier Lagrave, Maxime","Radjabov, Teimour",2760,2765,2021.06.22,blitz,1-0,,24.5
116,"Alekseev, Evgeny A","Radjabov, Teimour",2640,2717,2006.04.23,team,1/2-1/2,B32,4
117,"Radjabov, Teimour","Morozevich, Alexander",2710,2676,2016.12.30,swiss (blitz),1/2-1/2,D02,15.5
118,"Radjabov, Teimour","Dizdarevic, Emir",2644,2491,2003.05.24,tourn,1-0,D45,6
119,"Korchenov, Viktor","Radjabov, Teimour",2617,2558,2001.09.11,match,1/2-1/2,E70,7
120,"Leko, Peter","Radjabov, Teimour",2762,2757,2009.09.29,tourn,1/2-1/2,B76,2
121,"Radjabov, Teimour","Mamedyarov, Shakhriyar",2731,2759,2015.02.23,tourn,1/2-1/2,D52,8
122,"Moiseenko, Alexander","Radjabov, Teimour",2648,2710,2016.10.28,k.o. (rapid),1/2-1/2,D37,2.2
123,"Radjabov, Teimour","Vachier Lagrave, Maxime",2734,2758,2014.12.17,swiss,0-1,D19,4
124,"Wang, Yue","Radjabov, Teimour",2736,2751,2008.12.26,tourn,1/2-1/2,E93,11
125,"Radjabov, Teimour","Morozevich, Alexander",2788,2770,2012.07.09,tourn (blitz),1/2-1/2,D31,5
126,"Radjabov, Teimour","Dubov, Daniil",2767,2676,2019.11.07,,1/2-1/2,B31,1.4
127,"Radjabov, Teimour","Sjugirov, Sanan",2758,2662,2019.09.14,,1/2-1/2,D30,2.2
128,"Radjabov, Teimour","Rinat, Dzhumabayev",2710,2611,2016.12.28,blitz,1/2-1/2,D78,13
129,"Radjabov, Teimour","Jobava, Baadur",2731,2696,2015.02.16,k.o.,1/2-1/2,A05,2
130,"Radjabov, Teimour","Karjakin, Sergey",2756,2721,2009.05.09,swiss,1-0,D02,8
131,"Radjabov, Teimour","Karjakin, Sergey",2758,2709,2021.04.26,,1/2-1/2,,12.3
132,"Dubov, Daniil","Radjabov, Teimour",2710,2765,2021.03.13,,0-1,E06,5.3
133,"Nisipeanu, Liviu Dieter","Radjabov, Teimour",2667,2759,2019.07.14,,0-1,,2.1
134,"Mamedyarov, Shakhriyar","Radjabov, Teimour",2726,2788,2012.07.09,tourn (blitz),1/2-1/2,D73,11
135,"Radjabov, Teimour","Gelfand, Boris",,,2005.09.10,team,1/2-1/2,B96,1
136,"Le, Quang Liem","Radjabov, Teimour",2693,2788,2012.07.10,tourn (blitz),1/2-1/2,E61,18
137,"Radjabov, Teimour","Dreev, Aleksey",,,2002.10.05,tourn,0-1,A01,4
138,"Deac, Bogdan Daniel","Radjabov, Teimour",2543,2710,2016.10.27,k.o. (rapid),1/2-1/2,C63,1.2
139,"Radjabov, Teimour","Bacrot, Etienne",2744,2710,2011.09.04,k.o.,1-0,C50,3.2
140,"Radjabov, Teimour","Fedoseev, Vladimir",2757,2724,2019.01.22,tourn,0-1,D15,9
141,"Radjabov, Teimour","Svidler, Peter",2757,2741,2009.10.27,team-swiss,1/2-1/2,D97,6
142,"Radjabov, Teimour","Dam Ziska, Helgi",2742,2545,2017.09.03,k.o.,1/2-1/2,E90,1.1
143,"Wojtaszek, Radoslaw","Radjabov, Teimour",2749,2710,2016.12.30,swiss (blitz),1-0,A33,18.10
144,"Radjabov, Teimour","Beliavsky, Alexander G",2673,2630,2005.06.28,swiss,1/2-1/2,C45,10
145,"Radjabov, Teimour","Topalov, Veselin",2756,2740,2019.04.07,tourn,1/2-1/2,C45,7
146,"Radjabov, Teimour","Hoang, Thanh Trang",2395,2450,1999.02.16,,0-1,A26,11
147,"Eljanov, Pavel","Radjabov, Teimour",2751,2710,2017.04.21,tourn,1-0,C65,1
148,"Andreikin, Dmitry","Radjabov, Teimour",2722,2726,2014.10.05,tourn,1/2-1/2,B38,4
149,"Radjabov, Teimour","Vidit, Santosh Gujrathi",2757,2695,2019.01.19,tourn,1-0,D38,7
150,"Radjabov, Teimour","Ivanchuk, Vassily",2761,2779,2009.03.25,tourn (rapid),1/2-1/2,B22,10
151,"Schneider, Daniel","Radjabov, Teimour",2164,2682,2005.08.13,swiss (rapid),0-1,D00,3
152,"Radjabov, Teimour","Caruana, Fabiano",2713,2783,2014.04.22,tourn,1/2-1/2,D85,3
153,"Berg, Emanuel","Radjabov, Teimour",2456,2476,2000.08.27,swiss,1/2-1/2,C11,11
154,"Shirov, Alexei","Radjabov, Teimour",2745,2756,2009.05.08,swiss,1/2-1/2,E99,3
155,"Giri, Anish","Radjabov, Teimour",2764,2765,2021.02.09,rapid,1/2-1/2,B32,1.11
156,"Radjabov, Teimour","Hou, Yifan",2726,2663,2016.05.26,tourn,1/2-1/2,A46,1
157,"Milos, Gilberto","Radjabov, Teimour",2614,2558,2001.09.06,,0-1,B32,3
158,"Anand, Viswanathan","Radjabov, Teimour",2753,2624,2003.03.07,,1-0,B32,12
159,"Pelletier, Yannick","Radjabov, Teimour",2609,2742,2007.10.08,team-swiss,1/2-1/2,E97,6.1
160,"Radjabov, Teimour","Motylev, Alexander",2746,2648,2007.08.01,swiss,1/2-1/2,C45,8
161,"Radjabov, Teimour","Naiditsch, Arkadij",2710,2687,2016.12.30,swiss (blitz),1/2-1/2,D03,20
162,"Radjabov, Teimour","Milov, Vadim",2438,2626,1999.07.21,,0-1,A38,2
163,"Graf, Alexander","Radjabov, Teimour",2646,2650,2003.11.28,tourn (rapid),1-0,A65,8
164,"Baklan, Vladimir","Radjabov, Teimour",2614,2618,2002.09.28,team-swiss,1/2-1/2,C12,7.5
165,"Radjabov, Teimour","Areshchenko, Alexander",2667,2570,2005.02.22,swiss,1-0,A45,8
166,"Radjabov, Teimour","Eljanov, Pavel",2744,2742,2010.11.18,tourn (blitz),1-0,B18,34
167,"Dominguez, Lenier","Radjabov, Teimour",2612,2670,2004.06.28,k.o.,1-0,B30,5.1
168,"Radjabov, Teimour","Istratescu, Andrei",2670,2587,2004.05.22,swiss,1/2-1/2,E43,7
169,"Petrov, Anton","Radjabov, Teimour",2375,,1997.??.??,,1-0,C06,?
170,"Carlsen, Magnus","Radjabov, Teimour",2881,2758,2021.04.28,,1/2-1/2,,8.1
171,"Radjabov, Teimour","Lukianenko, Evgenij",,2275,1997.??.??,,1-0,A07,?
172,"Radjabov, Teimour","Karjakin, Sergey",2761,2706,2009.01.20,tourn,1/2-1/2,D15,4
173,"Radjabov, Teimour","Karjakin, Sergey",2742,2694,2007.11.04,team-tourn,1/2-1/2,B96,7.2
174,"Radjabov, Teimour","Giri, Anish",2726,2790,2016.05.28,tourn,1/2-1/2,D38,3
175,"Radjabov, Teimour","Ljubojevic, Ljubomir",2628,2557,2002.11.06,,0-1,E12,11
176,"Radjabov, Teimour","Bacrot, Etienne",2734,2718,2014.12.13,tourn (blitz),1-0,D78,29
177,"Svidler, Peter","Radjabov, Teimour",,,2015.09.18,k.o.,1/2-1/2,E60,3.2
178,"Radjabov, Teimour","Riazantsev, Alexander",2741,2651,2017.11.16,swiss,1/2-1/2,B13,1
179,"Cheparinov, Ivan","Radjabov, Teimour",,,2016.12.26,rapid,1/2-1/2,D78,10.7
180,"Radjabov, Teimour","Svidler, Peter",2610,2690,2002.09.09,match (rapid),0-1,D97,3
181,"Radjabov, Teimour","Ponomariov, Ruslan",2724,2717,2014.08.12,team-swiss,1/2-1/2,D30,10.2
182,"Banikas, Hristos","Radjabov, Teimour",2620,2781,2011.11.05,team-swiss,1/2-1/2,E99,3.1
183,"Kramnik, Vladimir","Radjabov, Teimour",2808,2722,2016.09.11,,1-0,C55,9
184,"Giri, Anish","Radjabov, Teimour",2780,2765,2021.05.26,,1/2-1/2,,1.4
185,"Radjabov, Teimour","Ganguly, Surya Shekhar",2667,2585,2005.02.15,swiss,1/2-1/2,C77,1
186,"Khenkin, Igor","Radjabov, Teimour",2629,2747,2007.05.02,team,1/2-1/2,E92,1
187,"Duda, Jan Krzysztof","Radjabov, Teimour",2774,2758,2020.11.23,tourn,0-1,,8.3
188,"Korobov, Anton","Radjabov, Teimour",2688,2765,2020.08.22,,1/2-1/2,,4.2
189,"Radjabov, Teimour","Karjakin, Sergey",2650,2562,2003.11.28,tourn (rapid),1-0,D45,5
190,"Tregubov, Pavel V","Radjabov, Teimour",2585,2710,2016.12.26,rapid,1/2-1/2,D35,2.25
191,"Radjabov, Teimour","Ding, Liren",2763,2799,2021.10.11,team,1/2-1/2,E32,1.1
192,"Nepomniachtchi, Ian","Radjabov, Teimour",2778,2758,2020.05.06,,1-0,,4.1
193,"Nakamura, Hikaru","Radjabov, Teimour",,,2017.11.19,,1-0,B30,4.3
194,"Bologan, Victor","Radjabov, Teimour",2650,2648,2003.08.09,match,1/2-1/2,B30,9
195,"Aronian, Levon","Radjabov, Teimour",2809,2793,2013.04.01,tourn,1-0,E90,14
196,"Radjabov, Teimour","Kazhgaleyev, Murtas",2704,2602,2005.11.30,k.o.,0-1,C68,2.1
197,"Radjabov, Teimour","Leko, Peter",2628,2743,2002.10.29,,1/2-1/2,E15,4
198,"Jakovenko, Dmitry","Radjabov, Teimour",2730,2733,2010.01.08,team-tourn,1/2-1/2,B33,4.2
199,"Radjabov, Teimour","Nepomniachtchi, Ian",2744,2720,2010.11.17,tourn (blitz),1-0,D85,25
200,"Radjabov, Teimour","Svidler, Peter",2729,2728,2007.03.25,rapid,0-1,B43,8
201,"Bocharov, Dmitry","Radjabov, Teimour",2574,2663,2004.10.06,team-swiss,0-1,E66,4.5
202,"Topalov, Veselin","Radjabov, Teimour",2793,2745,2013.05.09,tourn,1/2-1/2,B30,2
203,"Radjabov, Teimour","Gasimov, Ilgar",2751,2704,2008.10.22,team-swiss,1/2-1/2,E20,6
204,"Radjabov, Teimour","Mecking, Henrique",2558,2552,2001.09.09,,1-0,D10,6
205,"Radjabov, Teimour","Akopian, Vladimir Eduardovic",2610,2678,2002.06.02,k.o. (rapid),1-0,D48,2.1
206,"Radjabov, Teimour","Aronian, Levon",2793,2809,2013.03.21,tourn,0-1,C65,6
