,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
144,"Nakamura, Hikaru","Xiong, Jeffery",2787,2618,2016.04.24,tourn,1-0,E60,10
145,"So, Wesley","Nakamura, Hikaru",2778,2769,2018.06.23,blitz,1/2-1/2,D37,?
146,"Riazantsev, Alexander","Nakamura, Hikaru",2692,2775,2014.06.20,swiss (blitz),0-1,A48,13
147,"Nakamura, Hikaru","Grischuk, Alexander",2736,2777,2020.06.22,,1/2-1/2,D38,7.2
148,"Nakamura, Hikaru","Andreikin, Dmitry",2750,2729,2022.04.23,,1-0,A05,7
149,"Nakamura, Hikaru","Vidit, Santosh Gujrathi",2736,2726,2020.10.13,,1/2-1/2,C67,3.2
150,"Nakamura, Hikaru","Le, Quang Liem",2829,2744,2021.04.24,,1/2-1/2,,3.5
151,"Nakamura, Hikaru","Schwartz, Ylon",2281,2291,2000.09.04,,1-0,C45,6
152,"Aronian, Levon","Nakamura, Hikaru",2767,2777,2018.12.01,,1-0,C50,3.12
153,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2716,2704,2008.10.30,,0-1,B12,1.4
154,"Nakamura, Hikaru","Eljanov, Pavel",2763,2703,2018.10.28,swiss,1-0,E16,9
155,"Nakamura, Hikaru","Kovalev, Denis",2736,2487,2020.12.22,,1-0,A05,6
156,"Gupta, Anu","Nakamura, Hikaru",2628,2736,2021.10.26,,0-1,E46,6
157,"Pavasovic, Dusko","Nakamura, Hikaru",2598,2699,2008.11.09,team-tourn,1-0,B03,3.2
158,"Nakamura, Hikaru","Adams, Michael",2767,2745,2014.12.07,swiss (rapid),1-0,A07,7
159,"Nakamura, Hikaru","Bruzon Batista, Lazaro",2644,2650,2006.02.06,,1/2-1/2,E13,4
160,"Fodor, Tamas Jr","Nakamura, Hikaru",,,2016.01.26,,0-1,E39,2.1
161,"Eljanov, Pavel","Nakamura, Hikaru",2672,2736,2020.07.14,,0-1,A07,8
162,"Nakamura, Hikaru","Pert, Richard G",2736,2416,2021.05.11,,1-0,C00,2
